t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
10000,0.5,10.0,False,,1.0,4,499,-1,-1,9931,9812,10000,0.69,10000,0,0
10000,0.5,50.0,False,,1.0,4,499,-1,-1,10001,9806,10000,0.01,10000,0,0
10000,0.5,100.0,False,,1.0,4,499,-1,-1,10054,9767,10000,0.54,10000,0,0
10000,1.0,2.0,False,,1.0,4,499,-1,-1,10108,9707,10000,1.08,10000,0,1
10000,1.0,5.0,False,,1.0,4,499,-1,-1,9818,9766,10000,1.82,10000,0,0
10000,1.0,10.0,False,,1.0,4,499,-1,-1,9901,9765,10000,0.9900000000000001,10000,0,0
10000,1.0,50.0,False,,1.0,4,499,-1,-1,10073,9722,10000,0.73,10000,0,2
10000,1.0,100.0,False,,1.0,4,499,-1,-1,9916,9725,10000,0.84,10000,0,3
10000,2.0,2.0,False,,1.0,4,499,-1,-1,10075,10075,10000,0.75,10000,0,0
10000,2.0,5.0,False,,1.0,6,499,-1,-1,9884,9842,10000,1.16,10000,0,0
10000,2.0,10.0,False,,1.0,4,499,-1,-1,10155,9737,10000,1.55,10000,0,2
10000,2.0,50.0,False,,1.0,4,499,-1,-1,9985,9502,10000,0.15,10000,0,1
10000,2.0,100.0,False,,1.0,7,499,-1,-1,9470,9470,10000,5.3,10000,0,0
10000,5.0,2.0,False,,1.0,4,499,-1,-1,10193,9495,10000,1.9300000000000002,10000,0,3
10000,5.0,5.0,False,,1.0,4,499,-1,-1,9637,9582,10000,3.63,10000,0,0
10000,5.0,10.0,False,,1.0,7,499,-1,-1,10267,9034,10000,2.67,10000,2,2
10000,5.0,50.0,False,,1.0,5,499,-1,-1,9514,9314,10000,4.859999999999999,10000,0,4
10000,5.0,100.0,False,,1.0,13,499,-1,-1,9982,9771,10000,0.18,10000,0,0
10000,10.0,2.0,False,,1.0,9,499,-1,-1,10100,9248,10000,1.0,10000,0,3
10000,10.0,5.0,False,,1.0,8,499,-1,-1,11335,8468,10000,13.350000000000001,10000,3,4
10000,10.0,10.0,False,,1.0,9,499,-1,-1,9590,8548,10000,4.1000000000000005,10000,1,1
10000,10.0,50.0,False,,1.0,12,499,-1,-1,10820,8595,10000,8.200000000000001,10000,2,2
10000,10.0,100.0,False,,1.0,18,499,-1,-1,7772,7772,10000,22.28,10000,0,0
10000,20.0,2.0,False,,1.0,4,499,-1,-1,6773,6773,10000,32.269999999999996,10000,0,0
10000,20.0,5.0,False,,1.0,5,499,-1,-1,12164,8612,10000,21.64,10000,3,3
10000,20.0,10.0,False,,1.0,17,499,-1,-1,10198,9090,10000,1.9800000000000002,10000,1,1
10000,20.0,50.0,False,,1.0,7,499,-1,-1,7523,6705,10000,24.77,10000,1,1
10000,20.0,100.0,False,,1.0,5,499,-1,-1,9432,9432,10000,5.680000000000001,10000,0,0
50000,0.0,2.0,False,,1.0,4,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,5.0,False,,1.0,4,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,10.0,False,,1.0,4,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,50.0,False,,1.0,4,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,100.0,False,,1.0,4,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.5,2.0,False,,1.0,4,499,-1,-1,50021,49064,50000,0.042,10000,0,0
50000,0.5,5.0,False,,1.0,4,499,-1,-1,49407,48970,50000,1.1860000000000002,10000,0,0
50000,0.5,10.0,False,,1.0,4,499,-1,-1,49834,49077,50000,0.332,10000,0,0
50000,0.5,50.0,False,,1.0,4,499,-1,-1,50031,49094,50000,0.062,10000,0,0
50000,0.5,100.0,False,,1.0,4,499,-1,-1,50699,49098,50000,1.398,10000,0,0
50000,1.0,2.0,False,,1.0,4,499,-1,-1,49231,48622,50000,1.538,10000,0,0
50000,1.0,5.0,False,,1.0,4,499,-1,-1,49480,48885,50000,1.04,10000,0,1
50000,1.0,10.0,False,,1.0,4,499,-1,-1,49417,49417,50000,1.166,10000,0,0
50000,1.0,50.0,False,,1.0,4,499,-1,-1,50699,48679,50000,1.398,10000,0,2
50000,1.0,100.0,False,,1.0,4,499,-1,-1,49597,48295,50000,0.8059999999999999,10000,0,0
50000,2.0,2.0,False,,1.0,4,499,-1,-1,51178,48694,50000,2.3560000000000003,10000,0,4
50000,2.0,5.0,False,,1.0,10,499,-1,-1,49981,49981,50000,0.038,10000,0,0
50000,2.0,10.0,False,,1.0,4,499,-1,-1,48795,48069,50000,2.41,10000,0,2
50000,2.0,50.0,False,,1.0,5,499,-1,-1,49500,49500,50000,1.0,10000,0,0
50000,2.0,100.0,False,,1.0,4,499,-1,-1,49936,49936,50000,0.128,10000,0,0
50000,5.0,2.0,False,,1.0,4,499,-1,-1,51235,42298,50000,2.4699999999999998,10000,1,3
50000,5.0,5.0,False,,1.0,6,499,-1,-1,50262,46025,50000,0.524,10000,0,2
50000,5.0,10.0,False,,1.0,7,499,-1,-1,46925,45156,50000,6.15,10000,0,3
50000,5.0,50.0,False,,1.0,5,499,-1,-1,54148,54148,50000,8.296000000000001,10000,0,0
50000,5.0,100.0,False,,1.0,7,499,-1,-1,51137,51137,50000,2.274,10000,0,0
50000,10.0,2.0,False,,1.0,6,499,-1,-1,59830,59830,50000,19.66,10000,0,0
50000,10.0,5.0,False,,1.0,4,499,-1,-1,43621,43621,50000,12.758,10000,0,0
50000,10.0,10.0,False,,1.0,16,499,-1,-1,43436,43436,50000,13.128,10000,0,0
50000,10.0,50.0,False,,1.0,7,499,-1,-1,56157,51683,50000,12.314,10000,0,1
50000,10.0,100.0,False,,1.0,8,499,-1,-1,46278,45339,50000,7.444000000000001,10000,0,2
50000,20.0,2.0,False,,1.0,6,499,-1,-1,47709,43759,50000,4.582,10000,0,2
50000,20.0,5.0,False,,1.0,23,499,-1,-1,55687,55687,50000,11.373999999999999,10000,0,0
50000,20.0,10.0,False,,1.0,7,499,-1,-1,31856,28393,50000,36.288,10000,1,1
50000,20.0,50.0,False,,1.0,25,499,-1,-1,57980,51676,50000,15.959999999999999,10000,1,1
50000,20.0,100.0,False,,1.0,45,499,-1,-1,55366,55366,50000,10.732,10000,0,0
100000,0.0,2.0,False,,1.0,4,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,5.0,False,,1.0,4,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,10.0,False,,1.0,4,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,50.0,False,,1.0,4,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,100.0,False,,1.0,4,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.5,2.0,False,,1.0,4,499,-1,-1,100449,97773,100000,0.449,10000,0,0
100000,0.5,5.0,False,,1.0,4,499,-1,-1,100098,98379,100000,0.098,10000,0,0
100000,0.5,10.0,False,,1.0,4,499,-1,-1,100002,97825,100000,0.002,10000,0,0
100000,0.5,50.0,False,,1.0,4,499,-1,-1,99865,98135,100000,0.135,10000,0,0
100000,0.5,100.0,False,,1.0,4,499,-1,-1,99052,98070,100000,0.9480000000000001,10000,0,0
100000,1.0,2.0,False,,1.0,4,499,-1,-1,99398,96903,100000,0.602,10000,0,4
100000,1.0,5.0,False,,1.0,4,499,-1,-1,99153,97375,100000,0.847,10000,0,1
100000,1.0,10.0,False,,1.0,4,499,-1,-1,100903,97844,100000,0.903,10000,0,0
100000,1.0,50.0,False,,1.0,4,499,-1,-1,101856,97338,100000,1.856,10000,0,0
100000,1.0,100.0,False,,1.0,4,499,-1,-1,98614,97462,100000,1.3860000000000001,10000,0,0
100000,2.0,2.0,False,,1.0,4,499,-1,-1,102067,97065,100000,2.067,10000,0,2
100000,2.0,5.0,False,,1.0,5,499,-1,-1,98477,97667,100000,1.5230000000000001,10000,0,0
100000,2.0,10.0,False,,1.0,4,499,-1,-1,101568,98577,100000,1.568,10000,0,0
