t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt,trial
500,10.0,10.0,True,,1.0,2,249,-1,-1,491,491,500,1.7999999999999998,5000,0,0,2
500,10.0,10.0,True,,1.0,1,249,-1,-1,472,417,500,5.6000000000000005,5000,1,2,3
500,10.0,10.0,True,,1.0,1,249,-1,-1,417,390,500,16.6,5000,0,2,4
500,20.0,1.0,False,,1.0,4,249,-1,-1,472,412,500,5.6000000000000005,5000,1,2,0
500,20.0,1.0,False,,1.0,7,249,-1,-1,493,394,500,1.4000000000000001,5000,2,2,1
500,20.0,1.0,False,,1.0,5,249,-1,-1,361,322,500,27.800000000000004,5000,1,1,2
500,20.0,1.0,False,,1.0,8,249,-1,-1,465,396,500,7.000000000000001,5000,1,3,3
500,20.0,1.0,False,,1.0,6,249,-1,-1,554,554,500,10.8,5000,0,0,4
500,20.0,5.0,True,,1.0,19,249,-1,-1,481,403,500,3.8,5000,2,2,0
500,20.0,5.0,True,,1.0,27,249,-1,-1,555,495,500,11.0,5000,1,1,1
500,20.0,5.0,True,,1.0,23,249,-1,-1,433,433,500,13.4,5000,0,0,2
500,20.0,5.0,True,,1.0,3,249,-1,-1,504,504,500,0.8,5000,0,0,3
500,20.0,5.0,True,,1.0,4,249,-1,-1,503,446,500,0.6,5000,2,2,4
500,20.0,10.0,True,,1.0,0,249,-1,-1,612,530,500,22.400000000000002,5000,1,1,0
500,20.0,10.0,True,,1.0,12,249,-1,-1,453,360,500,9.4,5000,2,2,1
500,20.0,10.0,True,,1.0,0,249,-1,-1,482,430,500,3.5999999999999996,5000,1,1,2
500,20.0,10.0,True,,1.0,6,249,-1,-1,388,388,500,22.400000000000002,5000,0,0,3
500,20.0,10.0,True,,1.0,23,249,-1,-1,460,366,500,8.0,5000,2,2,4
1000,0.0,1.0,False,,1.0,4,249,-1,-1,1000,1000,1000,0.0,5000,0,0,0
1000,0.0,1.0,False,,1.0,4,249,-1,-1,1000,1000,1000,0.0,5000,0,0,1
1000,0.0,1.0,False,,1.0,4,249,-1,-1,1000,1000,1000,0.0,5000,0,0,2
1000,0.0,1.0,False,,1.0,4,249,-1,-1,1000,1000,1000,0.0,5000,0,0,3
1000,0.0,1.0,False,,1.0,4,249,-1,-1,1000,1000,1000,0.0,5000,0,0,4
1000,0.0,5.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,0
1000,0.0,5.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,1
1000,0.0,5.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,2
