t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
1000,20.0,0.25,True,,1.0,28,499,-1,-1,771,613,1000,22.900000000000002,10000,2,2
1000,20.0,0.5,True,,1.0,14,499,-1,-1,752,598,1000,24.8,10000,2,2
1000,20.0,0.75,True,,1.0,4,499,-1,-1,887,705,1000,11.3,10000,2,2
5000,0.0,0.001,True,,1.0,59,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.01,True,,1.0,39,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.1,True,,1.0,19,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.25,True,,1.0,11,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.5,True,,1.0,5,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.0,0.75,True,,1.0,2,499,-1,-1,5000,5000,5000,0.0,10000,0,0
5000,0.5,0.001,True,,1.0,59,499,-1,-1,5044,4910,5000,0.88,10000,0,0
5000,0.5,0.01,True,,1.0,39,499,-1,-1,5001,4897,5000,0.02,10000,0,0
5000,0.5,0.1,True,,1.0,19,499,-1,-1,4963,4917,5000,0.74,10000,0,0
5000,0.5,0.25,True,,1.0,11,499,-1,-1,4984,4902,5000,0.32,10000,0,0
5000,0.5,0.5,True,,1.0,5,499,-1,-1,4958,4913,5000,0.84,10000,0,0
5000,0.5,0.75,True,,1.0,2,499,-1,-1,5020,4913,5000,0.4,10000,0,0
5000,1.0,0.001,True,,1.0,59,499,-1,-1,4998,4899,5000,0.04,10000,0,0
5000,1.0,0.01,True,,1.0,39,499,-1,-1,4939,4845,5000,1.22,10000,0,0
5000,1.0,0.1,True,,1.0,19,499,-1,-1,4945,4861,5000,1.0999999999999999,10000,0,1
5000,1.0,0.25,True,,1.0,11,499,-1,-1,5035,4856,5000,0.7000000000000001,10000,0,1
5000,1.0,0.5,True,,1.0,5,499,-1,-1,5005,4865,5000,0.1,10000,0,1
5000,1.0,0.75,True,,1.0,2,499,-1,-1,5020,4849,5000,0.4,10000,0,0
5000,2.0,0.001,True,,1.0,59,499,-1,-1,5071,4788,5000,1.4200000000000002,10000,0,4
5000,2.0,0.01,True,,1.0,39,499,-1,-1,4927,4851,5000,1.46,10000,0,1
5000,2.0,0.1,True,,1.0,19,499,-1,-1,5039,4939,5000,0.7799999999999999,10000,0,0
5000,2.0,0.25,True,,1.0,11,499,-1,-1,4939,4791,5000,1.22,10000,0,1
5000,2.0,0.5,True,,1.0,5,499,-1,-1,5104,4814,5000,2.08,10000,0,1
5000,2.0,0.75,True,,1.0,4,499,-1,-1,4955,4843,5000,0.8999999999999999,10000,0,0
5000,5.0,0.001,True,,1.0,59,499,-1,-1,5181,4725,5000,3.62,10000,0,1
5000,5.0,0.01,True,,1.0,39,499,-1,-1,4940,4621,5000,1.2,10000,0,1
5000,5.0,0.1,True,,1.0,19,499,-1,-1,4982,4712,5000,0.36,10000,0,4
5000,5.0,0.25,True,,1.0,11,499,-1,-1,5197,4632,5000,3.94,10000,1,1
5000,5.0,0.5,True,,1.0,7,499,-1,-1,4947,4773,5000,1.06,10000,0,0
5000,5.0,0.75,True,,1.0,6,499,-1,-1,5199,4896,5000,3.9800000000000004,10000,0,2
5000,10.0,0.001,True,,1.0,59,499,-1,-1,5847,5847,5000,16.939999999999998,10000,0,0
5000,10.0,0.01,True,,1.0,42,499,-1,-1,4659,4627,5000,6.819999999999999,10000,0,4
5000,10.0,0.1,True,,1.0,23,499,-1,-1,4268,3804,5000,14.64,10000,1,1
5000,10.0,0.25,True,,1.0,11,499,-1,-1,5019,4930,5000,0.38,10000,0,0
5000,10.0,0.5,True,,1.0,5,499,-1,-1,4794,4635,5000,4.12,10000,0,4
5000,10.0,0.75,True,,1.0,2,499,-1,-1,5093,5093,5000,1.8599999999999999,10000,0,0
5000,20.0,0.001,True,,1.0,62,499,-1,-1,3927,3500,5000,21.46,10000,1,1
5000,20.0,0.01,True,,1.0,46,499,-1,-1,4449,3948,5000,11.020000000000001,10000,3,3
5000,20.0,0.1,True,,1.0,33,499,-1,-1,4623,4027,5000,7.539999999999999,10000,2,2
5000,20.0,0.25,True,,1.0,20,499,-1,-1,4247,3786,5000,15.06,10000,1,1
5000,20.0,0.5,True,,1.0,5,499,-1,-1,3276,3276,5000,34.48,10000,0,0
5000,20.0,0.75,True,,1.0,10,499,-1,-1,3815,3815,5000,23.7,10000,0,0
10000,0.0,0.001,True,,1.0,59,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,0.01,True,,1.0,39,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,0.1,True,,1.0,19,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,0.25,True,,1.0,11,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,0.5,True,,1.0,5,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.0,0.75,True,,1.0,2,499,-1,-1,10000,10000,10000,0.0,10000,0,0
10000,0.5,0.001,True,,1.0,59,499,-1,-1,10012,9804,10000,0.12,10000,0,0
10000,0.5,0.01,True,,1.0,39,499,-1,-1,9954,9820,10000,0.45999999999999996,10000,0,0
10000,0.5,0.1,True,,1.0,19,499,-1,-1,9939,9818,10000,0.61,10000,0,0
10000,0.5,0.25,True,,1.0,11,499,-1,-1,9991,9780,10000,0.09,10000,0,0
10000,0.5,0.5,True,,1.0,5,499,-1,-1,10001,9748,10000,0.01,10000,0,0
10000,0.5,0.75,True,,1.0,2,499,-1,-1,10014,9766,10000,0.13999999999999999,10000,0,0
10000,1.0,0.001,True,,1.0,59,499,-1,-1,10014,9723,10000,0.13999999999999999,10000,0,3
10000,1.0,0.01,True,,1.0,39,499,-1,-1,9993,9773,10000,0.06999999999999999,10000,0,3
10000,1.0,0.1,True,,1.0,19,499,-1,-1,9895,9730,10000,1.05,10000,0,3
10000,1.0,0.25,True,,1.0,11,499,-1,-1,9914,9711,10000,0.86,10000,0,1
10000,1.0,0.5,True,,1.0,5,499,-1,-1,10184,9820,10000,1.8399999999999999,10000,0,0
10000,1.0,0.75,True,,1.0,2,499,-1,-1,10132,9729,10000,1.32,10000,0,2
10000,2.0,0.001,True,,1.0,59,499,-1,-1,9868,9868,10000,1.32,10000,0,0
10000,2.0,0.01,True,,1.0,39,499,-1,-1,9772,9596,10000,2.2800000000000002,10000,0,1
10000,2.0,0.1,True,,1.0,19,499,-1,-1,9867,9589,10000,1.3299999999999998,10000,0,3
10000,2.0,0.25,True,,1.0,11,499,-1,-1,9710,9710,10000,2.9000000000000004,10000,0,0
10000,2.0,0.5,True,,1.0,5,499,-1,-1,9957,9812,10000,0.43,10000,0,0
10000,2.0,0.75,True,,1.0,2,499,-1,-1,10023,9639,10000,0.22999999999999998,10000,0,1
10000,5.0,0.001,True,,1.0,61,499,-1,-1,9356,8455,10000,6.4399999999999995,10000,3,3
10000,5.0,0.01,True,,1.0,42,499,-1,-1,10743,9288,10000,7.430000000000001,10000,3,4
10000,5.0,0.1,True,,1.0,21,499,-1,-1,10059,9278,10000,0.59,10000,0,3
10000,5.0,0.25,True,,1.0,11,499,-1,-1,10023,10023,10000,0.22999999999999998,10000,0,0
10000,5.0,0.5,True,,1.0,19,499,-1,-1,9662,9615,10000,3.38,10000,0,2
10000,5.0,0.75,True,,1.0,9,499,-1,-1,11133,9571,10000,11.33,10000,2,4
10000,10.0,0.001,True,,1.0,60,499,-1,-1,8599,8599,10000,14.01,10000,0,0
10000,10.0,0.01,True,,1.0,39,499,-1,-1,10025,9430,10000,0.25,10000,0,2
10000,10.0,0.1,True,,1.0,19,499,-1,-1,9526,9526,10000,4.74,10000,0,0
10000,10.0,0.25,True,,1.0,11,499,-1,-1,9334,9334,10000,6.660000000000001,10000,0,0
10000,10.0,0.5,True,,1.0,7,499,-1,-1,9672,9672,10000,3.2800000000000002,10000,0,0
10000,10.0,0.75,True,,1.0,2,499,-1,-1,9260,9260,10000,7.3999999999999995,10000,0,0
10000,20.0,0.001,True,,1.0,72,499,-1,-1,9240,8676,10000,7.6,10000,0,1
10000,20.0,0.01,True,,1.0,46,499,-1,-1,9082,6430,10000,9.180000000000001,10000,3,3
10000,20.0,0.1,True,,1.0,19,499,-1,-1,6709,4750,10000,32.910000000000004,10000,3,3
10000,20.0,0.25,True,,1.0,20,499,-1,-1,8676,7189,10000,13.239999999999998,10000,2,3
10000,20.0,0.5,True,,1.0,5,499,-1,-1,9868,9868,10000,1.32,10000,0,0
10000,20.0,0.75,True,,1.0,3,499,-1,-1,8326,7046,10000,16.74,10000,3,3
50000,0.0,0.001,True,,1.0,59,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,0.01,True,,1.0,39,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,0.1,True,,1.0,19,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,0.25,True,,1.0,11,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,0.5,True,,1.0,5,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.0,0.75,True,,1.0,2,499,-1,-1,50000,50000,50000,0.0,10000,0,0
50000,0.5,0.001,True,,1.0,59,499,-1,-1,49882,49018,50000,0.23600000000000002,10000,0,0
50000,0.5,0.01,True,,1.0,39,499,-1,-1,49824,49057,50000,0.35200000000000004,10000,0,0
50000,0.5,0.1,True,,1.0,19,499,-1,-1,50247,49011,50000,0.494,10000,0,0
50000,0.5,0.25,True,,1.0,11,499,-1,-1,50217,49056,50000,0.434,10000,0,0
50000,0.5,0.5,True,,1.0,5,499,-1,-1,50441,48750,50000,0.882,10000,0,0
50000,0.5,0.75,True,,1.0,2,499,-1,-1,50212,49093,50000,0.424,10000,0,0
50000,1.0,0.001,True,,1.0,59,499,-1,-1,50822,49225,50000,1.644,10000,0,0
50000,1.0,0.01,True,,1.0,39,499,-1,-1,49825,48571,50000,0.35000000000000003,10000,0,1
50000,1.0,0.1,True,,1.0,19,499,-1,-1,50213,48743,50000,0.426,10000,0,0
50000,1.0,0.25,True,,1.0,11,499,-1,-1,50472,49922,50000,0.9440000000000001,10000,0,0
50000,1.0,0.5,True,,1.0,5,499,-1,-1,48774,48616,50000,2.452,10000,0,4
50000,1.0,0.75,True,,1.0,2,499,-1,-1,50432,48593,50000,0.864,10000,0,1
50000,2.0,0.001,True,,1.0,59,499,-1,-1,52033,48319,50000,4.066,10000,0,1
50000,2.0,0.01,True,,1.0,39,499,-1,-1,50284,47617,50000,0.5680000000000001,10000,0,3
50000,2.0,0.1,True,,1.0,19,499,-1,-1,49546,48401,50000,0.9079999999999999,10000,0,1
50000,2.0,0.25,True,,1.0,14,499,-1,-1,51510,49143,50000,3.02,10000,0,1
50000,2.0,0.5,True,,1.0,5,499,-1,-1,50939,48009,50000,1.8780000000000001,10000,0,2
50000,2.0,0.75,True,,1.0,2,499,-1,-1,50100,48054,50000,0.2,10000,0,1
50000,5.0,0.001,True,,1.0,59,499,-1,-1,51653,47629,50000,3.306,10000,0,2
50000,5.0,0.01,True,,1.0,39,499,-1,-1,49960,44528,50000,0.08,10000,1,1
